,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,publishedAt,updatedAt
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@JP Goes Global Thanks man! Gah! I totally forgot that we were going to meet up! I was just sailing the Bay last weekend!,@JP Goes Global Thanks man! Gah! I totally forgot that we were going to meet up! I was just sailing the Bay last weekend!,UgjAOsWpStnYF3gCoAEC,True,none,0,2015-05-07T00:53:27.000Z,2015-05-07T00:53:27.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@E R.A. Thanks man! That is all great advice! ,@E R.A. Thanks man! That is all great advice! ,UggE5yVmjVPeCngCoAEC,True,none,0,2016-02-05T00:02:19.000Z,2016-02-05T00:02:19.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,@E R.A. Oooh. I like the idea! What kind do you recommend? ,@E R.A. Oooh. I like the idea! What kind do you recommend? ,UggE5yVmjVPeCngCoAEC,True,none,0,2016-02-02T01:03:12.000Z,2016-02-02T01:03:12.000Z
value,E R.A.,https://yt3.ggpht.com/a/AGF-l79hoQWQGXDJtifRd-VgZdlYBYIz7xgMmrgXaw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCQbQQzkY4HM81QK3iSxXjIA,UCQbQQzkY4HM81QK3iSxXjIA,q4PWBf04V54,+Mark Humphreys have you tried pre-electric lotion for the dry shaving??..............try and you will see how smooth and comfortable the shaving can be..........I do both (wet/dry electric shaving) but the dry shaving with pre-electric lotion is closer than the wet..............it might be a case of opinions anyway......,+Mark Humphreys have you tried pre-electric lotion for the dry shaving??..............try and you will see how smooth and comfortable the shaving can be..........I do both (wet/dry electric shaving) but the dry shaving with pre-electric lotion is closer than the wet..............it might be a case of opinions anyway......,UggE5yVmjVPeCngCoAEC,True,none,0,2016-01-31T21:35:20.000Z,2016-01-31T21:35:20.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,"+Shivram Rajput <a href=""http://www.braun.com/us/male-grooming/series-shavers/series-5/series-5-models.html"">http://www.braun.com/us/male-grooming/series-shavers/series-5/series-5-models.html</a><br /> It&#39;s the wet and dry version.","+Shivram Rajput http://www.braun.com/us/male-grooming/series-shavers/series-5/series-5-models.html
 It's the wet and dry version.",UggE5yVmjVPeCngCoAEC,True,none,1,2016-01-24T23:43:00.000Z,2016-01-24T23:43:00.000Z
value,Tanner grinzel,https://yt3.ggpht.com/a/AGF-l785d7cvNIwlaaPIFjdRgEfb-VI_N7dyFYaLBw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UChAG-z5E5t9JuSstyj-IEjQ,UChAG-z5E5t9JuSstyj-IEjQ,q4PWBf04V54,Hi no only the you would shave with a blade,Hi no only the you would shave with a blade,Ughu667B8U4hZHgCoAEC,True,none,0,2017-02-26T07:26:57.000Z,2017-02-26T07:26:57.000Z
value,yourtub,https://yt3.ggpht.com/a/AGF-l7-TTSzN0fB40eFmfK3JwlFinwsGoK6OBDqxUA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCfOzOr-SPoUzMXD3yUxDQiQ,UCfOzOr-SPoUzMXD3yUxDQiQ,q4PWBf04V54,+Marielle Hembra its traumatic isnt it,+Marielle Hembra its traumatic isnt it,UggEBf9W7EDcd3gCoAEC,True,none,0,2016-03-26T07:36:53.000Z,2016-03-26T07:36:53.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,+samir hadad Isn&#39;t there something specifically for this called the Bald Eagle? I think I&#39;ve seen an add for it.,+samir hadad Isn't there something specifically for this called the Bald Eagle? I think I've seen an add for it.,Ugj1ggnHtQIinXgCoAEC,True,none,0,2016-02-24T01:24:50.000Z,2016-02-24T01:24:50.000Z
value,Mark Humphreys,https://yt3.ggpht.com/a/AGF-l7-Fgu0uvrAuppkvdl0ikLYBn4hyKlz99_hoxA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-iv2cw1IrHrNA5YC2_41zg,UC-iv2cw1IrHrNA5YC2_41zg,q4PWBf04V54,"+Roberto Terella I know, I know. But it grows back! There are plenty more where that one came from!","+Roberto Terella I know, I know. But it grows back! There are plenty more where that one came from!",UghmdN92uwjrNXgCoAEC,True,none,0,2016-04-22T04:29:18.000Z,2016-04-22T04:29:18.000Z
value,Renaldo Aggrey,https://yt3.ggpht.com/a/AGF-l7-RH4KIRUHDmDZubRbVGWwL9cqhQHhRwPeVoQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCCXZvr9XsqwLWaZ2EoL7F7Q,UCCXZvr9XsqwLWaZ2EoL7F7Q,q4PWBf04V54,+Mark Humphreys I do apologise aha,+Mark Humphreys I do apologise aha,UggKjlfgIiHj0XgCoAEC,True,none,0,2015-11-29T11:26:37.000Z,2015-11-29T11:26:37.000Z
